alpha,beta,F,ell,w_nominal,w_eff,n_elements,cond,wall_s
0.5,0.2,2.661029816585067e-07,17.83940994359453,0.03,0.009000000000000341,4500,1090643.9135708045,5.135073900222778
0.5,0.12,7.138124670795176e-07,17.835649438542656,0.03,0.009000000000000341,4500,404268.01839106745,4.291281700134277
0.5,0.08,2.954072814574466e-07,17.832976045128557,0.03,0.009000000000000341,4500,1425977.2789481604,4.2895941734313965
0.5,0.05,3.4011277944622825e-07,17.830034594203273,0.03,0.009000000000000341,4500,325977.21539697825,4.297376871109009
0.5,0.035,1.588086360948156e-07,17.8286484088672,0.03,0.009000000000000341,4500,1574652.165021625,4.315959453582764
0.5,0.025,5.252970641276688e-07,17.82128758328515,0.03,0.009000000000000341,4500,2234604.1632546973,4.310350656509399
1.0,0.2,7.577849900089007e-05,18.940405861642542,0.03,0.009000000000000341,4500,1229405.0934948435,4.3040478229522705
1.0,0.12,2.0413891886933844e-06,18.9215013165045,0.03,0.009000000000000341,4500,272944.6226260289,4.304728031158447
1.0,0.08,1.2183911702789089e-06,18.917561497609,0.03,0.009000000000000341,4500,2116514.67020085,4.315715074539185
1.0,0.05,1.495091088728606e-06,18.905532200675808,0.03,0.009000000000000341,4500,2551081.3931189324,4.304822683334351
1.0,0.035,1.134093302158413e-05,18.87313026777816,0.03,0.009000000000000341,4500,2175834.3687854167,4.324110269546509
1.0,0.025,-1.499136812430175e-07,18.89748535275166,0.03,0.009000000000000341,4500,2579968.7723452738,4.323390960693359
2.0,0.2,3.150974005752444e-05,20.863563283283835,0.03,0.009000000000000341,4500,399309.8712362385,4.281665802001953
2.0,0.12,1.574333162256073e-05,20.825217573471253,0.03,0.009000000000000341,4500,1444514.799532767,4.263492822647095
2.0,0.08,1.1331427581313957e-05,20.80299745096265,0.03,0.009000000000000341,4500,3520718.740664649,4.3387157917022705
2.0,0.05,3.755649903787003e-05,20.77518876262521,0.03,0.009000000000000341,4500,3533230.195671669,4.341977834701538
2.0,0.035,-1.212218817559291e-06,20.774152392421787,0.03,0.009000000000000341,4500,1283307.6697748753,4.322474002838135
2.0,0.025,4.054642052145203e-07,20.767525414316975,0.03,0.009000000000000341,4500,18360945.80403762,4.320133924484253
